City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,bilibino,68.0546,166.4372,7.43,60,100,1.87,RU,1691592896
160,tarija,-21.5355,-64.7296,13.95,62,0,0.0,BO,1691592896
161,usogorsk,63.4106,48.6872,25.53,55,7,0.35,RU,1691592896
162,agadez,19.75,10.25,41.29,16,12,4.67,NE,1691592896
163,kapuskasing,49.4169,-82.4331,16.05,94,100,2.06,CA,1691592896
164,nikolayevsk-on-amure,53.1406,140.73,12.73,95,57,1.36,RU,1691592896
165,la ronge,55.1001,-105.2842,14.14,77,75,0.0,CA,1691592764
166,zhongxiang,31.1661,112.5831,26.4,73,45,2.35,CN,1691592897
167,vadso,70.0744,29.7487,28.49,61,20,3.6,NO,1691592700
168,college,64.8569,-147.8028,15.97,94,100,2.57,US,1691592897
169,aripuana,-9.1667,-60.6333,37.52,31,11,0.36,BR,1691592897
170,vernon,50.2581,-119.2691,22.47,52,93,2.24,CA,1691592886
171,broken hill,-31.95,141.4333,12.83,44,0,6.92,AU,1691592897
172,murzuq,25.9155,13.9184,35.8,14,0,6.37,LY,1691592897
173,tocopilla,-22.092,-70.1979,20.56,63,17,3.0,CL,1691592897
174,whitehorse,60.7161,-135.0538,9.43,81,40,2.06,CA,1691592672
175,haimen,23.1935,116.6142,30.94,80,63,5.58,CN,1691592898
176,novo horizonte,-21.4681,-49.2208,31.12,27,1,6.01,BR,1691592898
177,linqiong,30.4159,103.4609,31.9,91,100,0.91,CN,1691592898
178,cabedelo,-6.9811,-34.8339,28.37,71,49,8.27,BR,1691592898
179,obihiro,42.9172,143.2044,22.49,98,65,1.02,JP,1691592898
180,portland,45.5234,-122.6762,20.24,78,75,1.34,US,1691592898
181,nar'yan-mar,67.6713,53.087,19.08,64,41,4.32,RU,1691592898
182,ola,59.5833,151.2833,12.01,67,99,5.18,RU,1691592899
183,lompoc,34.6391,-120.4579,15.51,88,100,1.54,US,1691592899
184,mantenopolis,-18.8625,-41.1228,24.43,57,76,4.15,BR,1691592899
185,kitimat,54.0524,-128.6534,15.51,71,97,3.13,CA,1691592899
186,praia da vitoria,38.7333,-27.0667,28.14,69,20,5.9,PT,1691592779
187,ierapetra,35.01,25.7353,30.64,44,0,6.26,GR,1691592899
188,iskateley,67.6803,53.1512,18.71,65,47,4.27,RU,1691592900
189,luza,60.6308,47.2512,25.21,67,8,1.06,RU,1691592900
190,san antonio de pale,-1.4014,5.6325,23.9,77,100,4.49,GQ,1691592900
191,lebu,-37.6167,-73.65,12.81,78,100,8.22,CL,1691592900
192,roma,43.2128,-75.4557,23.65,79,40,5.14,US,1691592789
193,shimoda,34.6667,138.95,26.17,90,51,4.61,JP,1691592901
194,wynyard,-41.0,145.7167,12.11,87,100,4.91,AU,1691592701
195,ostroleka,53.0862,21.5757,14.16,87,100,4.43,PL,1691592517
196,malango,-2.9627,119.9001,20.1,99,97,0.3,ID,1691592901
197,atafu village,-8.5421,-172.5159,27.92,80,97,5.9,TK,1691592901
198,chonchi,-42.6128,-73.8092,11.18,93,100,4.66,CL,1691592902
199,indramayu,-6.3264,108.32,26.3,73,100,3.79,ID,1691592902
200,valparaiso,-33.0393,-71.6273,15.0,86,100,1.54,CL,1691592902
201,georgetown,5.4112,100.3354,28.96,81,20,1.54,MY,1691592763
202,bridgewater,44.3835,-64.5155,20.06,97,100,5.66,CA,1691592903
203,bozoum,6.3193,16.3799,25.46,79,84,1.67,CF,1691592903
204,salinopolis,-0.6136,-47.3561,29.47,66,4,5.88,BR,1691592903
205,west island,-12.1568,96.8225,24.99,83,40,4.63,CC,1691592904
206,ascension,30.2169,-90.9001,33.0,72,40,3.09,US,1691592904
207,castillos,-34.1667,-53.8333,16.49,71,100,6.93,UY,1691592904
208,vorgashor,67.5833,63.95,12.07,61,98,2.06,RU,1691592737
209,copala,16.65,-98.9833,28.45,75,100,1.35,MX,1691592904
210,karratha,-20.7377,116.8463,21.85,63,0,2.4,AU,1691592904
211,tshabong,-26.05,22.45,24.54,10,2,6.22,BW,1691592905
212,naze,28.3667,129.4833,25.51,90,95,7.6,JP,1691592905
213,galle,6.0367,80.217,26.85,86,100,3.77,LK,1691592905
214,port mathurin,-19.6833,63.4167,23.1,63,59,8.66,MU,1691592905
215,harper,4.375,-7.7169,25.36,80,93,6.18,LR,1691592905
216,sitka,57.0531,-135.33,13.94,88,100,3.6,US,1691592739
217,ilgaz,40.9251,33.6259,28.59,45,15,2.01,TR,1691592906
218,kyshtovka,56.555,76.6271,18.04,69,61,2.04,RU,1691592906
219,el granada,37.5027,-122.4694,17.23,90,100,3.6,US,1691592906
220,dul'durga,50.6761,113.5931,18.22,79,100,1.91,RU,1691592906
221,corner brook,48.9667,-57.9484,16.09,75,100,4.31,CA,1691592906
